Date,BTCX21.CME,BTCZ21.CME,BTCF22.CME,BTCG22.CME,BTCH22.CME,BTCJ22.CME,BTCZ22.CME,BTC-USD
2021-04-16,,66250.0,,,,,69150.0,61572.7890625
2021-04-19,,59500.0,,,,,62400.0,55724.265625
2021-04-20,,60365.0,,,,,63265.0,56473.03125
2021-04-21,,59365.0,,,,,62265.0,53906.08984375
2021-04-22,,56500.0,,,,,59400.0,51762.2734375
2021-04-23,,54255.0,,,,,57155.0,51093.65234375
2021-04-26,,57435.0,,,,,60335.0,54021.75390625
2021-04-27,,58005.0,,,,,60905.0,55033.1171875
2021-04-28,,58245.0,,,,,61145.0,54824.703125
2021-04-29,,55645.0,,,,,58545.0,53555.109375
2021-04-30,,59925.0,,,,,62825.0,57750.17578125
2021-05-03,,60720.0,,,,,63620.0,57200.29296875
2021-05-04,,57150.0,,,,,60050.0,53333.5390625
2021-05-05,,58600.0,,,,,61500.0,57424.0078125
2021-05-06,,58680.0,,,,,61580.0,56396.515625
2021-05-07,,60205.0,,,,,63105.0,57356.40234375
2021-05-10,,58290.0,,,,,61190.0,55859.796875
2021-05-11,,59165.0,,,,,62065.0,56704.57421875
2021-05-12,,56650.0,,,,,59550.0,49150.53515625
2021-05-13,,50000.0,,,,,52900.0,49716.19140625
2021-05-14,,51590.0,,,,,54490.0,49880.53515625
2021-05-17,,45285.0,,,,,48185.0,43537.51171875
2021-05-18,,44610.0,,,,,47510.0,42909.40234375
2021-05-19,,40475.0,,,,,43375.0,37002.44140625
2021-05-20,,40975.0,,,,,43875.0,40782.73828125
2021-05-21,,36755.0,,,,,39655.0,37304.69140625
2021-05-24,,40290.0,,,,,43190.0,38705.98046875
2021-05-25,,38325.0,,,,,41225.0,38402.22265625
2021-05-26,,39480.0,,,,,42380.0,39294.19921875
2021-05-27,,39730.0,,,,,42630.0,38436.96875
2021-05-28,36785.0,36610.0,,,,,39510.0,35697.60546875
2021-06-01,36725.0,36750.0,,,,,39650.0,36684.92578125
2021-06-02,38785.0,38810.0,,,,,41710.0,37575.1796875
2021-06-03,39520.0,39545.0,,,,,42445.0,39208.765625
2021-06-04,37710.0,37735.0,,,,,40635.0,36894.40625
2021-06-07,36335.0,36360.0,,,,,39260.0,33560.70703125
2021-06-08,33545.0,33570.0,,,,,36470.0,33472.6328125
2021-06-09,37020.0,36915.0,,,,,39815.0,37345.12109375
2021-06-10,37210.0,37105.0,,,,,40005.0,36702.59765625
2021-06-11,37950.0,38045.0,,,,,40945.0,37334.3984375
2021-06-14,40535.0,40630.0,,,,,43530.0,40218.4765625
2021-06-15,40760.0,40855.0,,,,,43755.0,40406.26953125
2021-06-16,39260.0,39355.0,,,,,42255.0,38347.0625
2021-06-17,38240.0,38335.0,,,,,41235.0,38053.50390625
2021-06-18,35755.0,35850.0,,,,,38750.0,35787.24609375
2021-06-21,32780.0,33040.0,,,,,35940.0,31676.693359375
2021-06-22,32820.0,33040.0,,,,,35940.0,32505.66015625
2021-06-23,33260.0,33600.0,,,,,36500.0,33723.02734375
2021-06-24,35255.0,35595.0,,,,,38495.0,34662.4375
2021-06-25,32515.0,32775.0,,,,,35675.0,31637.779296875
2021-06-28,35070.0,35210.0,,,,,38110.0,34434.3359375
2021-06-29,37035.0,37175.0,,,,,40075.0,35867.77734375
2021-06-30,35205.0,35450.0,,,,,38350.0,35040.8359375
2021-07-01,33535.0,33715.0,,,,,36615.0,33572.1171875
2021-07-02,33770.0,33945.0,,,,,36845.0,33897.046875
2021-07-06,34480.0,34650.0,,,,,37550.0,34235.1953125
2021-07-07,35115.0,35190.0,,,,,38090.0,33855.328125
2021-07-08,33370.0,33500.0,,,,,36400.0,32877.37109375
2021-07-09,33850.0,33980.0,,,,,36880.0,33798.01171875
2021-07-12,33175.0,33305.0,,,,,36205.0,33155.84765625
2021-07-13,32575.0,32745.0,,,,,35645.0,32702.025390625
2021-07-14,33070.0,33240.0,,,,,36140.0,32822.34765625
2021-07-15,31745.0,31905.0,,,,,34805.0,31780.73046875
2021-07-16,32260.0,32385.0,,,,,35285.0,31421.5390625
2021-07-19,30855.0,30980.0,,,,,33880.0,30817.83203125
2021-07-20,29785.0,29865.0,,,,,32765.0,29807.34765625
2021-07-21,31785.0,31980.0,,,,,34880.0,32110.693359375
2021-07-22,32580.0,32585.0,,,,,35485.0,32313.10546875
2021-07-23,32485.0,32515.0,,,,,35415.0,33581.55078125
2021-07-26,39870.0,39985.0,,,,,42885.0,37337.53515625
2021-07-27,38180.0,38305.0,,,,,41205.0,39406.94140625
2021-07-28,40685.0,40860.0,,,,,43760.0,39995.90625
2021-07-29,40035.0,40210.0,,,,,43110.0,40008.421875
2021-07-30,40180.0,40315.0,40450.0,,,,43215.0,42235.546875
2021-08-02,39485.0,39665.0,39800.0,,,,42565.0,39201.9453125
2021-08-03,38250.0,38430.0,38565.0,,,,41330.0,38152.98046875
2021-08-04,40085.0,40215.0,40350.0,,,,43115.0,39747.50390625
2021-08-05,40985.0,41125.0,41260.0,,,,44025.0,40869.5546875
2021-08-06,43220.0,43330.0,43465.0,,,,46230.0,42816.5
2021-08-09,46400.0,46595.0,46790.0,,,,49555.0,46365.40234375
2021-08-10,45825.0,45985.0,46180.0,,,,48945.0,45585.03125
2021-08-11,46795.0,46950.0,47145.0,,,,49910.0,45593.63671875
2021-08-12,44775.0,44930.0,44955.0,,,,47720.0,44428.2890625
2021-08-13,46830.0,47000.0,47080.0,,,,49845.0,47793.3203125
2021-08-16,46395.0,46570.0,46615.0,,,,49380.0,46004.484375
2021-08-17,45740.0,45785.0,45885.0,,,,48650.0,44695.359375
2021-08-18,45080.0,45130.0,45235.0,,,,48000.0,44801.1875
2021-08-19,46930.0,47100.0,47205.0,,,,49970.0,46717.578125
2021-08-20,49090.0,49320.0,49380.0,,,,52145.0,49339.17578125
2021-08-23,49620.0,49850.0,50030.0,,,,52795.0,49546.1484375
2021-08-24,48540.0,48680.0,48725.0,,,,51200.0,47706.1171875
2021-08-25,49075.0,49220.0,49350.0,,,,51825.0,48960.7890625
2021-08-26,47130.0,47250.0,47375.0,,,,49850.0,46942.21875
2021-08-27,48620.0,48760.0,48860.0,48960.0,,,51335.0,49058.66796875
2021-08-30,48895.0,49055.0,49165.0,49265.0,,,51640.0,47054.984375
2021-08-31,47585.0,47630.0,47740.0,47840.0,,,50215.0,47166.6875
2021-09-01,48460.0,48710.0,48820.0,48920.0,,,51295.0,48847.02734375
2021-09-02,49610.0,49780.0,49890.0,50325.0,,,52700.0,49327.72265625
2021-09-03,50910.0,51095.0,51415.0,51350.0,,,53725.0,50025.375
2021-09-07,47015.0,47195.0,47425.0,47360.0,,,49735.0,46811.12890625
2021-09-08,46735.0,46890.0,47120.0,47080.0,,,49455.0,46091.390625
2021-09-09,46870.0,47030.0,47250.0,47350.0,,,49725.0,46391.421875
2021-09-10,45940.0,46070.0,46290.0,46560.0,,,48935.0,44883.91015625
2021-09-13,45030.0,45205.0,45425.0,45695.0,,,48070.0,44963.07421875
2021-09-14,46795.0,46905.0,47245.0,47440.0,,,49815.0,47092.4921875
2021-09-15,48445.0,48680.0,48850.0,49030.0,,,51405.0,48176.34765625
2021-09-16,47860.0,48115.0,48435.0,48615.0,,,50990.0,47783.359375
2021-09-17,47790.0,48050.0,48555.0,48735.0,,,51110.0,47267.51953125
2021-09-20,44055.0,44270.0,44510.0,44705.0,,,47080.0,42843.80078125
2021-09-21,42300.0,42515.0,42765.0,42960.0,,,45335.0,40693.67578125
2021-09-22,43660.0,43830.0,43935.0,44100.0,,,46475.0,43574.5078125
2021-09-23,44955.0,45140.0,45240.0,45480.0,,,47855.0,44895.09765625
2021-09-24,42585.0,42665.0,42815.0,43090.0,43365.0,,45465.0,42839.75
2021-09-27,43220.0,43375.0,43555.0,43765.0,44000.0,,46100.0,42235.73046875
